District,County,Region,Country,Latitude,Longitude,Hectares,Density,Residents,Households,Dwellings,Household_Spaces,Aged_16plus,Aged_16_to_74,Employed_16_to_74,Household_Residents_16plus,Residents_3plus,pct_Males,pct_Females,pct_Household_Resident,pct_Communal_Resident,pct_Age_0_to_19,pct_Age_20_to_29,pct_Age_30_to_44,pct_Age_45_to_64,pct_Age_65_to_84,pct_Age_85plus,pct_White_British_and_Irish,pct_White_other,pct_Mixed,pct_Indian,pct_Pakistani,pct_Bangladeshi,pct_Chinese,pct_Other_Asian,pct_Black,pct_Other_ethnicity,pct_Christian,pct_Other_religion,pct_No_religion,pct_Religion_not_stated,pct_CoB_United_Kingdom,pct_CoB_Ireland,pct_CoB_EU_Member_pre_2001,pct_CoB_EU_member_pre_2011,pct_CoB_Other,pct_Little_or_no_English,pct_Single,pct_Married_couple,pct_Cohabiting_couple,pct_Same_sex_couple,pct_Legal_couple_living_apart,pct_Separated,pct_Divorced,pct_Widowed,pct_Lone_person,pct_Couple_no_kids,pct_Couple_dependent_kids,pct_Lone_parent_dependent_children,pct_All_fulltime_students,pct_Other_household_type,pct_Households_with_0_residents,pct_Detached,pct_Semidetached,pct_Terraced,pct_Flats,pct_Caravan_or_other,pct_Owned,pct_Social_rented,pct_Private_rented,pct_Living_rent_free,pct_Crowded_housing,pct_Long_term_ill,pct_Very_good_health,pct_Good_health,pct_Fair_health,pct_Bad_health,pct_Very_bad_health,pct_Provides_unpaid_care,pct_No_qualifications,pct_GCSE,pct_A_level,pct_Degree_plus,pct_Cars_0,pct_Cars_1,pct_Cars_2plus,pct_Work_from_home,pct_Public_Transport,pct_Private_Transport,pct_Other_Transport,pct_Employee_Parttime,pct_Employee_Fulltime,pct_Self_employed,pct_Unemployed,pct_Fulltime_student,pct_Retired,pct_Student_Econ_Inactive,pct_Looking_after_home_or_family,pct_Longterm_sick_or_disabled,pct_Economically_inactive_Other,pct_Never_worked,pct_Longterm_unemployed,pct_Higher_manager_prof,pct_Lower_manager_prof,pct_Intermediate_occupations,pct_Small_employer_self_employed,pct_Lower_supervisory_technical,pct_Semi_routine_occupations,pct_Routine_occupations,pct_Long_unemp_never_worked,pct_Agriculture_forestry_and_fishing,pct_Mining_and_quarrying,pct_Manufacturing,pct_Electricity_gas_air_conditioning,pct_Water_and_waste,pct_Construction,pct_Motor_vehicles,pct_Transport_and_storage,pct_Accommodation_and_food_service,pct_Information_and_communication,pct_Financial_and_insurance,pct_Real_estate,pct_Scientific_and_technical,pct_Administrative_and_support,pct_Public_administration_and_defence,pct_Education,pct_Human_health_and_social_work,pct_Other_industry
27,3,2,1,52.1405223,-.4687974,47641.2,3.30552127150449,157479,63812,67333,67653,125871,113764,75810,123054,151285,49.0935299309749,50.9064700690251,98.131179395348,1.86882060465205,19.3702017411845,12.556594847567,20.8523041167394,25.475777722744,13.6151486864915,2.17616317096248,72.562690898469,7.9851916763505,3.42013855815696,5.1575130652341,2.07646733850228,2.04789209989903,.574679798576318,1.5303627785292,3.93830288482909,.706760901453527,59.2752049479613,10.5106077635748,23.6406123991135,6.57357488935033,82.3951129991935,.836936988423853,2.51843102889909,3.73256116688574,10.5169578165978,3.11332914697425,23.6790046952833,47.2769740448555,9.9554305598589,.691183831065138,1.51980996416967,2.13472523456555,6.55591836086152,5.94894773220202,28.8284335234752,25.4497586660816,28.5275496771767,7.606719739234,.50930859399486,16.6849495392716,5.67750136727122,27.4252435220907,32.1877817687316,21.9029459151848,17.5868032459758,.897225548017087,66.7617376042124,16.0659437096471,15.8434150316555,1.32890365448505,2.01686203221965,16.002768623118,46.9014916274551,35.9813054439005,12.5807250490542,3.55348967163876,.982988207951536,10.2134252821011,20.3740337329488,32.8757219693178,11.8232158320821,28.1375376377402,20.5870369209553,41.8071836018304,37.6057794772143,5.57841973354439,9.56338213955942,69.8364331882337,15.0217649386624,13.9244400689146,40.3844801518934,9.51619141380401,4.44780422629303,3.61450019338279,12.7606272634577,5.47712808972962,4.32298442389508,3.29541858584438,2.25642558278542,.644316303927429,1.73077599240533,11.8508491262614,23.2261523856404,15.080341760135,9.93723849372385,7.52962272775219,15.1998874863753,12.7913927077107,6.15220983791006,.730774304181506,.050125313283208,8.49492151431209,.680648990898298,.803324099722992,7.54649782350613,17.080860044849,5.66284131381084,4.50072549795541,3.8926263025986,2.74370135865981,1.31512993008838,6.61786044057512,4.9188761377127,6.46220815195884,11.6435826408126,12.3967814272523,4.45851470782219
67,3,2,1,51.9850944,-.4995533,71566.45,3.55447280115193,254381,104399,108692,108733,204602,186658,132061,202364,244806,49.5492981000939,50.4507018999061,99.111175756051,.888824243949037,18.4070351166164,11.0393464920729,21.0695767372563,27.9195380158109,13.8284698935848,1.85233960083497,90.8880773328197,2.95619562781812,1.88260915713045,.995750468785011,.173755115358458,.0841257798341857,.551928013491574,.711138017383374,1.42070359028387,.335716897095302,62.2043312983281,2.55718784028681,28.4435551397313,6.79492572165374,92.0870662510172,.958798023437285,1.35780581096859,1.11722180508764,4.47910810948931,.514284780601783,20.4792719523758,51.2604959873315,11.9099520043792,.605565927996794,.943783540727852,2.04836707363564,5.94959971065776,5.70913285305129,25.8910525962892,29.0127300069924,29.6037318365118,6.48186285309246,.111112175403979,15.3813733848025,3.98591044117241,28.1938325991189,33.8452907580955,25.2747555939779,11.7360874803418,.950033568465875,73.388633990747,13.3918907269227,12.0805754844395,1.13889979789078,.916675447082826,14.3906187962151,49.1463592013555,35.5215208683038,11.4796309472799,3.01594851816763,.836540464893211,10.156025803814,19.3761546807949,36.6174328696689,12.6435714215892,27.2690394033294,13.2376746903706,40.0789279590801,46.6833973505493,6.01085861836576,8.85651327795489,74.9176516912639,10.2149764124155,13.9661841442638,43.5577366091997,10.9676520695604,3.45176740348659,2.80566597734895,13.4529460296371,4.16162178958309,3.93553986435084,2.36207395343355,1.33881215913596,.380910542275177,1.32541868015301,12.6680881612361,25.4460028501323,16.342723054999,11.4407097472383,8.18395139774347,13.9318968380675,11.0914078153629,3.70195759088815,.668630405645876,.0764798085733108,10.0355138913078,.277901878677278,.660300921543832,9.6667449133355,17.079228538327,5.35737272926905,3.85276501010896,4.55471335216302,3.30604796268391,1.53868288139572,6.71129250876489,4.66526832297196,6.27967378711353,10.4656181613042,9.59102233058965,5.21274259622447
204,3,2,1,51.8956743,-.4318671,4335.33,46.870941773752,203201,74293,76014,76295,156445,145208,89201,154803,193195,50.1739656793028,49.8260343206972,99.1870118749416,.81298812505844,21.3404461592217,17.4374141859538,21.6170196012815,20.8542280795862,10.3759331893052,1.37646960398817,47.5666950457921,7.09789814026506,4.07527522010226,5.22881285033046,14.4453029266588,6.69583318979729,.736708972888913,2.88925743475672,9.79768800350392,1.46652821590445,47.3772274742742,30.0013287336184,16.5323989547296,6.08904483737777,69.0592073857904,2.33955541557374,1.4310953194128,5.36660744779799,21.803534431425,5.42250058231321,29.6928633065934,43.1135542842533,8.90344849627665,.865479881108377,2.97229058135447,2.5184569657068,5.72022116398734,5.16411518425006,27.3498176140417,19.166004872599,30.0970481741214,8.16496843578803,1.22084180205403,22.1662875371839,2.62402516547611,12.8081787797365,40.128448784324,24.9924634641851,21.9096926404089,.161216331345435,60.5494461120159,15.7686457674343,22.6347031348848,1.04720498566487,5.99518124183974,15.0525834026407,46.5583338664672,36.0726571227504,12.4394072863815,3.72586749080959,1.20373423359137,8.9842077548831,23.6204416887724,32.3973281344882,11.0786538400077,22.2531880213494,27.4440391423149,44.3150767905455,28.2408840671396,2.97866615845114,14.9392944025291,66.6898353157476,15.3922041232722,12.6762988265109,36.685995261969,8.40036361632968,5.74141920555341,5.54996969863919,9.87273428461242,7.37080601619745,6.6525260316236,3.78491543165666,3.26497162690761,1.13492369566415,2.19409398931188,6.70486474574404,16.8640846234367,13.2623546912016,9.22125502727122,8.03399261748664,15.8655170514021,14.4179384055975,10.7232383890695,.109864239190144,.0156948913128777,9.23868566495891,.216365287384671,.572863532920035,8.10641136310131,17.7688590935079,10.0749991592023,6.14006569433078,3.28807973004787,2.63225748590262,1.45401957377159,4.70174101187206,6.3059831167812,4.36654297597561,9.99428257530745,10.7711796952949,4.24210490913779
39,4,6,1,51.40234815,-.7576151,10938.54,10.3491873686982,113205,45878,46937,47039,89743,83116,61914,87613,108293,49.5622984850492,50.4377015149508,97.621129808754,2.37887019124597,19.7341106841571,12.4287796475421,23.5245793030343,25.8575151274237,10.8316770460669,1.6651207985513,85.7417958570735,4.84960911620511,2.03436243982156,1.75698953226448,.457576962148315,.118369329976591,.491144384081975,2.17923236606157,1.93366017402058,.437259838346363,60.5308952784771,4.45740029150656,28.4298396713926,6.58186475862374,86.8283203038735,.710215979859547,1.93807694006448,1.75345611942935,8.76993065677311,.653781869557589,21.6874853749039,48.4717471000524,12.0232218668866,.786690883968666,1.16332193040126,1.94778422829636,6.63004356885774,4.91626087828577,27.697371289071,26.4484066437072,30.2149178255373,6.63934783556389,.0523126553031954,15.5869915863813,2.46816471438594,27.3879121579966,20.5106401071451,31.6439550160505,18.6738663662068,1.78362635260103,69.6325035964951,16.7356903090806,12.4983652295218,1.13344086490257,1.21626923579929,12.275959542423,52.4005123448611,34.2864714456075,10.0649264608454,2.52550682390354,.722582924782474,8.54555894174286,16.3121357654636,35.6328627302408,12.6906833959195,30.3054277213822,13.6775796678146,38.8377871746807,47.4846331575047,5.91627095648803,7.36020932260878,75.530574668088,11.1929450528152,13.3139227104288,49.0423023244622,9.82602627652919,3.37841089561577,2.8081235863131,10.2218586072477,3.61783531450022,4.15082535251937,2.12955387650994,1.51114105587372,.338081717118244,1.27291977477261,15.5974782232061,26.718080754608,16.4492997738101,9.48794455941094,7.55811155493527,13.4414553154627,8.95134510804177,3.46022426488281,.218044384145751,.172820363730336,6.757760764932,.53622767063992,.574991116710275,7.2309978357076,16.2225021804438,5.71276286461866,4.71621927189327,9.98158736311658,2.85880414768873,1.31795716639209,7.44742707626708,6.12300933552993,6.1520819200827,8.72500565300255,9.93636334270117,5.31543754239752
270,4,6,1,51.45395095,-.97567165,4039.86,38.540444470848,155698,62869,65551,65925,125582,116808,79852,121356,148243,50.0757877429382,49.9242122570617,97.1945689732688,2.80543102673124,19.0843813022646,19.06704003905,24.7312104201724,20.1691736566944,9.7560662307801,1.69687471900731,66.7921232128865,7.95963981554034,3.96922246913897,4.1837403177947,4.47468817839664,.446376960526147,1.02955721974592,3.45669180079384,6.72455651325001,.963403511926935,49.9993577309921,13.1967013063752,29.5000578042107,7.30388315842207,75.1955709129212,1.11240992177163,2.62045755244126,3.72965612917314,17.3419054836928,2.11814385839466,30.4741125320508,39.0812377570034,11.8989982640824,.871940246213629,2.11734165724387,2.02895319392907,5.59236196270166,4.56992244111417,30.5985461833336,22.5771047734177,26.8383464028376,7.5188089519477,1.51266920103708,18.4733334393739,4.63557072430793,12.122866894198,25.3105802047782,30.3739097459234,31.9651118695487,.227531285551763,56.6399974550255,16.2910178307274,26.0764446706644,.992540043582688,3.24325184112997,12.9160297499004,50.2055260825444,35.2689180336292,10.7708512633431,2.94801474649642,.806689873986821,7.90954283292014,17.3862496217611,26.9982959341307,13.4374353012374,34.7900176776927,28.3430625586537,44.9108463630724,26.7460910782739,4.65987076090768,21.2994038972098,52.2040775434554,21.8366477984271,11.8853160742415,44.5637285117458,7.90870488322718,4.56218752140264,4.9868159715088,8.56191356756386,7.9592151222519,4.56646805013355,2.76265324292857,2.24299705499623,.695157865899596,1.87915211286898,15.1034175741388,22.7090610232176,13.262790219848,7.35223614820903,6.32747757002945,13.6925553044312,10.2176220806794,6.13142935415383,.136502529679908,.325602364374092,4.94539898812804,.583579622301257,1.11456193958824,6.20522967489856,15.5237188799279,4.56344236838151,5.90968291338977,11.1293392776637,4.12012222611832,1.0281520813505,9.07053048139057,5.74312478084456,4.6511045434053,9.72173521013876,10.90517457296,4.3229975454591
303,4,6,1,51.5134839,-.600557,3253.61,43.0921345828172,140205,50766,51781,51980,106645,100458,67300,106152,132384,50.012481723191,49.987518276809,99.6376734067972,.36232659320281,21.6718376662744,16.3510573802646,25.6067900574159,20.0955743375771,7.94693484540494,1.19967190899041,35.6677721907207,10.0174744124675,3.39360222531293,15.6356763310866,17.737598516458,.391569487536108,.568453336186299,5.39210441853001,8.64091865482686,2.55483042687493,41.1725687386327,41.0106629578118,12.1422203202454,5.67454798331015,61.0199350950394,.972861167576049,2.23387183053386,7.0354124317963,28.7379194750544,6.24169083877206,28.3201275259037,44.2214824886305,8.43546345351399,.751090065169488,3.72075577851751,2.89933892821979,6.27033616203291,4.91912419710254,28.4580230863176,15.6837253279754,32.1573494070835,8.87010991608557,.206831343812788,23.4940708348107,2.33551365909965,9.98460946517891,27.8530203924586,28.220469411312,33.8553289726818,.0865717583686033,54.0538943387306,20.6358586455502,24.3233660323839,.986880983335303,7.71973368002206,13.3975250526015,47.8984344352912,35.993010235013,11.6172747048964,3.49916194144289,.992118683356514,8.2921436468029,20.0984574991795,30.2874021285574,10.1176801537812,25.8427493084533,23.4113382972856,44.1318993026829,32.4567624000315,3.06092124814264,16.2942050520059,67.8618127786033,12.7830609212481,11.8318103087858,43.4111768102092,8.88530530171813,5.41519839136754,3.93895956519142,7.48272910071871,5.78649783989329,6.52511497342173,3.37255370403552,3.35065400465866,1.00937705309682,2.11133010810488,8.62947699536125,18.2713173664616,13.626590216807,9.12719743574429,8.01329909016703,16.4606104043481,12.7605566505405,9.77921121264608,.150074294205052,.0772659732540862,8.07875185735513,.531946508172363,.696879643387816,6.06537890044576,16.4754829123328,12.5839524517088,6.93462109955424,7.05349182763744,2.60178306092125,.826151560178306,4.95690936106984,8.01337295690936,3.61664190193165,7.09361069836553,10.2659732540862,3.9777117384844
394,4,6,1,51.4942079,-.7015802,19650.96,7.3563836067042,144560,58349,60901,60943,115900,104247,73951,113209,138877,49.3414499169895,50.6585500830105,97.5823187603763,2.41768123962369,18.3806032097399,11.0348644161594,22.1008577753182,25.8902877697842,14.2418372993913,2.41353071389043,78.9540675152186,7.17280022136137,2.2931654676259,4.05368013281682,2.93165467625899,.2718594355285,.740868843386829,1.58135030437189,1.19327614831212,.807277255118982,62.2931654676259,9.02946873270614,21.6885722191478,6.9887935805202,82.6189817376868,1.14001106806862,2.99529607083564,1.86081903707803,11.3848920863309,1.01672703183392,21.618636755824,50.3658326143227,10.02329594478,.860224331320104,1.57894736842105,1.73684210526316,5.74805867126833,5.74633304572908,28.3706661639445,27.2772455397693,27.856518535022,4.96666609539152,.0274212068758676,16.4681485543883,4.25643634215579,31.1635462645423,25.3121769522341,18.7585120522455,23.6745811660076,1.09118356497055,68.6112872542803,13.2787194296389,16.164801453324,1.94519186275686,1.50816637817272,12.7033757609297,54.5116214720531,32.2156889872717,9.8464305478694,2.67847260653016,.747786386275595,9.15536801328168,15.6462467644521,28.9982743744607,11.1587575496117,38.3951682484901,13.3369894942501,40.1772095494353,46.4858009563146,8.74768427742694,11.3128963773309,67.0646779624346,12.8747413828075,12.2085048010974,44.449240745537,12.3773345995568,3.15788463936612,2.29359118248007,12.8214720807313,4.41067848475256,4.8116492560937,1.75928324076472,1.71036096962023,.346292938885531,1.19236045161971,19.3933638378083,29.9116521338744,15.2263374485597,10.9451590933072,6.50378428156206,11.0305332527555,7.43522595374447,4.18717085383752,.309664507579343,.282619572419575,7.46981109112791,.67477113223621,.603102054062825,5.63345999377966,13.8145528796095,6.07294019012589,5.13312869332396,10.6475909724006,3.3562764533272,1.75792078538492,10.367675893497,5.50364430501278,4.87620180930616,9.84570864491352,7.69157955943801,5.95935146245487
397,4,6,1,51.42625,-.8860733,17897.92,8.62558330800451,154380,60332,62474,62490,123010,112273,81377,120636,148442,49.529731830548,50.470268169452,98.2899339292654,1.71006607073455,18.9519367793756,10.0395128902708,21.8558103381267,27.5566783262081,13.5011011789092,1.90827827438787,84.5226065552533,3.91177613680529,2.06114781707475,3.45316750874466,1.8558103381267,.143801010493587,.779246016323358,1.17696592822905,1.35574556289675,.739733126052597,59.5316750874466,7.19782355227361,26.002720559658,7.26778080062184,87.6551366757352,.695685969685192,1.81629744785594,1.00725482575463,8.82562508096904,.577329866210372,19.3829769937403,56.13689943907,9.59840663360702,.521908787903422,1.0202422567271,1.39419559385416,5.01341354361434,5.00203235509308,23.3441623019293,30.0354703971358,31.0747198833123,4.44042962275409,.0497248557979182,15.4959225618246,3.45335253640583,44.5511281805089,28.9086253800608,14.5735317650824,10.9345495279245,1.03216514642343,80.8559305178015,7.02114963866605,11.1963800304979,.926539813034542,.895047404362527,11.9056872651898,54.2550848555512,33.5587511335665,9.43515999481798,2.1440601114134,.606943904650861,9.00505246793626,13.1907974961385,30.2211202341273,12.448581416145,39.9837411592553,8.98693893787708,36.799708280846,54.2133527812769,8.00594762647923,10.8212394165428,71.7672069503668,9.4056060066112,13.6114649114213,45.6565692552974,10.7603787197278,2.63464947048712,2.96687538410838,13.3389149661985,3.95553695011267,4.27440257230144,1.55157517835989,1.24963259198561,.298379841992287,.921860108841841,21.036224203504,29.9368503558291,16.5649800040972,9.67730442760058,5.52314447819155,10.6837797155149,6.21698894658555,3.14946603368575,.324415989775981,.305983263084164,6.57188148985586,.784005308625287,.686926281381717,6.61980657925458,14.5643117834277,3.74061466999275,3.21343868660678,12.6165869963257,4.2899099254089,1.2902908684272,9.90574732418251,4.62784324809221,5.15747692837042,11.4909618196788,8.81084335868857,4.9989554788208
47,6,7,1,51.46235705,-2.59001765,10960.76,39.0697360402016,428234,182747,188438,189885,349653,321506,209995,340467,409698,49.7557410200965,50.2442589799035,97.8002680777332,2.1997319222668,18.3023767379517,19.8776836962969,22.2214957243003,21.218539396685,10.9659672048459,2.08110519015305,78.7613781250438,5.20953497386943,3.60503836687419,1.52883703769434,1.60262846948164,.491320166077425,.907447797232354,.993615640047264,6.00933134688044,.890868076799133,46.7627512061163,7.7013968998258,37.4136570192932,8.12219487476473,85.258993914542,.677199848680861,2.14041855620992,2.45660083038712,9.46678685018004,1.48621667667404,33.7488881834276,34.4690307247471,13.2457035975667,1.05275802009421,1.47145884634194,2.02543664719021,6.16582726302935,5.19372063159761,33.7116341171127,22.7341625307119,24.3298111596907,8.16374550608218,1.98252228490755,17.2418699075771,3.75911736050768,5.87934802643705,26.322774310767,33.3522921768439,34.3571108829028,.088474603049214,54.7713505556863,20.2919883773742,23.5451197557279,1.39154131121168,2.2566717921498,16.7487868782021,48.8106969554029,33.4590434201862,12.2470425047988,4.21638636820056,1.26683075141161,9.37291294012152,20.1565552133115,27.5527451501918,14.5876054259509,32.78135751731,28.9000640229388,45.1350774568119,25.9648585202493,4.56106097764232,12.0340960499059,55.8760922879116,27.5287506845401,13.3683352721256,39.7594446137864,8.43094685635727,4.2975869812694,4.7859137932107,9.80821508774331,8.99889893190174,3.90537035078661,4.34610862627758,2.29917948654146,.651620809564985,1.59685977866665,12.831797851362,21.6845097758673,13.1372353859648,7.63282800320989,6.79925102486423,15.0790342948499,12.1080166466567,5.97687134921277,.0990499773804138,.0676206576347056,6.48063049120217,.384771065977761,.670968356389438,6.60206195385604,14.507012071716,4.32248386866354,5.86109193076026,5.27964951546465,6.02776256577538,1.2814590823591,8.39210457391843,5.23488654491774,5.44155813233648,10.8578775685135,13.964142003381,4.52486963975333
14,7,6,1,51.8228401,-.81838445,90275.35,1.9289540278714,174137,69406,71883,72072,138567,126740,90724,135468,167427,49.5247994395218,50.4752005604782,97.9981279107829,2.00187208921711,19.2354295755641,10.7013443438212,21.3395200330774,27.7172571021667,13.0270993528084,1.92434692225087,86.1005989536974,3.52940500870005,2.21894255672258,1.07501564859852,3.10560076261794,.11542635970529,.365229675485394,1.14162986613988,1.90826762836158,.439883539971402,61.6939536112371,5.70642654921125,25.5660772839776,7.03354255557406,89.1855263384576,.745964384364035,1.59472139752034,1.35410624967698,7.11968162998099,.913233827279949,20.2609567934645,51.2705045212785,11.0545800948278,.808273254093688,1.19148137723989,1.91604061573102,5.92204493133286,5.33965518485642,25.3753277814598,28.9009595712186,29.9484194450048,5.6983546091116,.122467798173069,15.6528254041437,3.6990786990787,32.3190698190698,31.9999444999445,23.4709734709735,11.990786990787,.219225219225219,72.4750021611964,12.9412442728294,13.3043252744719,1.27942829150218,1.66988444803043,13.5835577734772,51.4049283035771,34.1857273296313,10.9528704410895,2.67662817207141,.779845753630762,9.51319937750162,17.3627198395,33.896959593554,12.1919360309453,31.9635988366639,13.3187332507276,38.1307091605913,48.5505575886811,7.62863189453728,8.58868656584807,71.6965742251223,12.0861073144923,14.0058387249487,43.1560675398454,12.2542212403345,3.05270632791542,2.67871232444374,12.3749408237336,4.06422597443585,4.24096575666719,2.22581663247594,1.94650465519962,.34795644626795,1.10225658829099,14.2969859554994,27.1808426700331,15.6398926937036,11.9528167902793,6.83683130819,13.0069433485877,9.71358687075903,4.11945715638315,1.28742118954191,.0650324059785724,7.96812309862881,.232573519686081,.815660685154975,7.65508575459636,16.1952735770028,4.28111635289449,4.10145055332657,5.39217847537587,4.01216877562718,1.41087253648428,7.70909571888365,4.97553017944535,6.96177417221463,10.2596887262466,11.628675984304,5.04827829460782
